"","KTF75971","KTG42667","KTF80371","XP_701004","KTG43125","XP_007247745","KTF97353","XP_009293494","ABU96278","KTF88034","KTF89044","XP_001921423","XP_012688340","XP_002666141","KTG37669","KTF74249","XP_009297479","KTG03373","XP_013122300","KTG09598","KTF82271","ADG85670","KTG44146","AGH09216","CI01000065_0369242","NP_001239578","XP_009289507","AHA37384","NP_956417","BAC82372","NP_001005594","KTG06651","KTG34840","KTG37166","KTF76318","NP_001139468","NP_001245159","XP_007228077","KTG47344","KTF81434","NP_001017635","KTG45207","NP_001129995-G0004","KTG39568","XP_003201439-02364","XP_009296026-02406","KTG43290","KTG01608","XP_007235958","NP_571306","XP_013867485","KTF87868","XP_009296026-02382","KTF95438","KTF91743","KTG44324","KTF74609","XP_005166855","AAI62793","CDQ63224","ACR81587","XP_003201439-00000","XP_009301775","NP_001030159","CAD59120","KPP74952","KTF82854","KTF93372","XP_009291933","NP_001002690","NP_956405","NP_001093494","XP_005726511","XP_005171226","NP_001239279","NP_001129995-G0004","NP_001009916","XP_002666778","KTF73021","XP_009296012","KTG07469","KTF93359","KTG20094","NP_001129995-00000","XP_005172319","BAJ07836","KTG05535","KTG42301","KTF78776","KTF91705","KTG36050","XP_008308691","XP_015231118","KTG45231","XP_002660657","NP_001307352","NP_957371","KTF79503","KTF83322","XP_001340891","XP_009289685","KTG06837","KTG05056","XP_009301404","XP_009300071","CI01000330_0008172","XP_007232452","KTF81145","KTF81003","KTG40316","KTG06249","ACZ06879","KTG03061","ADK26459","KTG37605","CAE18459","KTG39162","AAI63537","XP_005157538","CAG02846","KKF10462","KTG30376","BAE79361","XP_005165403","XP_009298271","XP_012692113","KKF19913","XP_009298521","NP_571222","KTG04453","NP_571590","XP_009295759"
"KTF75971",NA,2.2846e-05,4.6613e-06,0.0022912,0.00038343,0.00031004,0.93911,0.9361,0.93362,0.93239,0.93237,0.93237,0.93237,0.17655,0.1165,0.04245,0.007739,0.012317,0.02116,0.0693,0.13529,0.0043881,0.0079615,0.02692,0.007599,0.0098955,0.013073,4.1654e-06,1.0409e-05,0.00017152,0.00021575,3.5212e-05,6.9484e-05,9.9294e-05,1.4788e-13,2.5903e-11,1.4811e-11,2.3485e-07,2.3853e-09,4.2105e-06,6.9157e-05,0.00023794,0.00077425,0.0014723,0.0021379,0.0088718,0.0098471,0.0058478,0.0048944,0.0043177,0.0046907,0.0047936,0.0049551,0.0041477,0.004414,0.0047769,0.0047193,0.003223,0.0038034,0.0037938,0.0037938,0.0037938,0.0037938,0.0037938,0.0037938,0.0037938,0.0037938,0.0037951,0.0037967,0.0039126,0.0040434,0.0086482,0.0062426,0.0068969,0.0074758,0.041214,0.049444,0.1518,0.1769,0.10579,0.086521,0.37198,0.43474,0.40433,0.73396,0.77303,0.79391,0.77098,0.8218,0.78935,0.65083,0.64173,0.52572,0.54663,0.032326,0.058869,0.057793,0.013376,0.0025758,0.0019509,0.0022359,0.0021596,0.0023537,0.0018194,0.0016458,0.0016451,0.0016451,0.0016451,0.0016451,0.0016451,0.25095,0.20192,0.31332,0.37288,0.38581,0.39758,0.45248,0.42752,0.44032,0.90633,0.92377,0.99632,0.54173,0.53402,0.53513,0.64533,0.66007,0.87832,0.7927,0.81436,0.67206,0.74406
"KTG42667",2.2846e-05,NA,1.2602e-09,0.00016665,2.4176e-07,1.2629e-07,0.60776,0.58772,0.57329,0.55957,0.5602,0.5601,0.56009,0.035347,0.018724,0.0038598,0.00028217,0.00048906,0.0018759,0.2755,0.42787,0.040303,0.050356,0.14782,0.063137,0.077237,0.092378,0.0011447,0.0017298,0.0069235,0.007375,0.0030621,0.0042926,0.0051896,1.4165e-05,5.579e-05,3.3141e-05,0.00039368,0.00011511,2.2043e-07,2.2502e-10,5.2296e-08,1.6517e-06,7.5669e-06,1.7046e-05,0.00027328,0.00033073,0.00024428,0.00013979,9.0566e-05,0.00012117,8.7167e-05,9.6186e-05,7.8124e-05,9.8031e-05,0.00012888,0.00012371,4.0161e-05,5.5872e-05,5.5312e-05,5.5309e-05,5.5308e-05,5.5308e-05,5.5308e-05,5.5308e-05,5.5308e-05,5.5308e-05,5.5384e-05,5.5482e-05,6.2507e-05,7.097e-05,0.00070116,0.00029563,0.00039058,0.00048446,0.0036815,0.0049291,0.028113,0.035484,0.01618,0.011879,0.10917,0.13827,0.12387,0.30858,0.33852,0.3489,0.33323,0.37097,0.35259,0.25616,0.25064,0.18462,0.19597,0.16579,0.24743,0.24286,0.093454,0.030102,0.026945,0.028367,0.027466,0.028294,0.026063,0.025267,0.025252,0.025253,0.025253,0.025253,0.025253,0.64226,0.55738,0.74129,0.82836,0.84646,0.86267,0.91781,0.90306,0.91996,0.43447,0.57131,0.51963,0.95389,0.96305,0.96182,0.83669,0.84221,0.62863,0.69039,0.67192,0.84347,0.77554
"KTF80371",4.6613e-06,1.2602e-09,NA,0.00024675,2.5847e-06,1.6432e-06,0.69113,0.67662,0.6646,0.65894,0.65881,0.65881,0.65881,0.052622,0.029513,0.0070781,0.00072046,0.0011391,0.0033017,0.21551,0.34763,0.027647,0.038968,0.10941,0.043236,0.053942,0.065669,0.00050102,0.00079113,0.0037886,0.004234,0.0015201,0.0022256,0.0027385,2.542e-06,1.437e-05,7.7779e-06,0.00014495,3.3582e-05,1.94e-08,3.8595e-08,9.1073e-07,1.0623e-05,3.4901e-05,6.7286e-05,0.00068789,0.00080842,0.00041426,0.00031202,0.00021343,0.00025513,0.00025938,0.00027475,0.0002409,0.00028775,0.00035426,0.00030343,0.00013507,0.00017542,0.00017719,0.00017684,0.00017702,0.00017702,0.00017702,0.00017702,0.00017702,0.00017702,0.00017559,0.0001752,0.00017715,0.00019175,0.0013884,0.00076897,0.00086457,0.0010378,0.0067826,0.0088778,0.042646,0.052735,0.025788,0.019322,0.14762,0.18329,0.1657,0.38253,0.4196,0.42794,0.41035,0.45719,0.42852,0.32255,0.3162,0.23891,0.25211,0.12576,0.19198,0.19083,0.06715,0.019308,0.017064,0.018118,0.017848,0.018546,0.016559,0.015864,0.015861,0.015861,0.015861,0.015861,0.015861,0.54314,0.46793,0.6378,0.72125,0.73871,0.75463,0.80868,0.79367,0.81006,0.51899,0.66824,0.60669,0.93497,0.92571,0.92755,0.94682,0.94452,0.73096,0.79599,0.77077,0.93491,0.88675
"XP_701004",0.0022912,0.00016665,0.00024675,NA,5.4689e-05,5.3842e-05,0.24412,0.37297,0.29969,0.33459,0.32997,0.33091,0.33113,0.014419,0.0072197,0.0015646,0.00050897,0.00030225,3.149e-05,0.53436,0.71904,0.13312,0.16962,0.3428,0.19917,0.21709,0.24665,0.015368,0.01778,0.043403,0.052364,0.02594,0.032692,0.035468,0.0019109,0.003302,0.0031233,0.0081948,0.0045584,0.00014419,9.3254e-05,6.414e-05,5.7402e-05,6.2701e-05,7.4152e-05,0.00021072,0.00022571,0.00035846,0.00021984,0.00015136,0.00019428,0.0001193,9.0366e-05,0.00013351,0.00016195,0.0002049,0.00019778,9.017e-05,0.00010073,9.9886e-05,9.9883e-05,9.9881e-05,9.9881e-05,9.9881e-05,9.9881e-05,9.9881e-05,9.9881e-05,9.9996e-05,0.00010014,0.00011064,0.0001231,0.00092465,0.00042456,0.00054457,0.0006611,0.0014639,0.0019623,0.011215,0.014534,0.0064416,0.0046122,0.049308,0.064342,0.05681,0.16204,0.19141,0.18772,0.17765,0.20237,0.18319,0.13067,0.12721,0.089491,0.095842,0.37191,0.49513,0.48747,0.24836,0.13018,0.11548,0.12281,0.093712,0.09343,0.094744,0.10158,0.10094,0.10101,0.10101,0.10101,0.10101,0.97406,0.88268,0.92629,0.84097,0.82373,0.80835,0.79877,0.77057,0.75019,0.23734,0.33697,0.33508,0.64273,0.65051,0.65044,0.54393,0.60717,0.3974,0.40305,0.39693,0.52044,0.48657
"KTG43125",0.00038343,2.4176e-07,2.5847e-06,5.4689e-05,NA,1.7319e-14,0.40159,0.38079,0.36021,0.35092,0.35077,0.35077,0.35078,0.011273,0.0050252,0.00062355,3.4727e-05,3.2295e-05,0.00035191,0.46126,0.65485,0.092773,0.10805,0.27906,0.13834,0.16501,0.19075,0.006051,0.0081654,0.024017,0.025162,0.012724,0.016566,0.019118,0.00028192,0.00069314,0.00050114,0.0027289,0.0011391,9.4666e-06,1.1634e-08,3.1388e-12,9.0608e-11,1.1645e-08,8.0432e-08,1.3066e-05,1.7537e-05,3.2399e-05,1.048e-05,3.7094e-06,7.5889e-06,1.9335e-06,2.2251e-06,2.4849e-06,4.5469e-06,8.7409e-06,7.9604e-06,4.5954e-07,8.7914e-07,8.4906e-07,8.4894e-07,8.4889e-07,8.4889e-07,8.4889e-07,8.4889e-07,8.4889e-07,8.4889e-07,8.5294e-07,8.5814e-07,1.2748e-06,1.8835e-06,0.00018987,4.5915e-05,7.4443e-05,0.00010625,0.00058505,0.00086891,0.0084225,0.011317,0.0041493,0.0027869,0.046224,0.061951,0.054059,0.16723,0.18875,0.19467,0.18391,0.2112,0.19982,0.13281,0.12929,0.088593,0.095374,0.30575,0.42311,0.4159,0.19239,0.074068,0.069554,0.071698,0.07114,0.07254,0.068505,0.067054,0.067049,0.067048,0.067048,0.067048,0.067048,0.90326,0.80822,0.99006,0.90012,0.88183,0.86556,0.81641,0.82546,0.80907,0.25832,0.36045,0.32339,0.68851,0.69705,0.69586,0.58201,0.59193,0.41278,0.45906,0.44551,0.60987,0.55236
"XP_007247745",0.00031004,1.2629e-07,1.6432e-06,5.3842e-05,1.7319e-14,NA,0.41738,0.39754,0.37699,0.36785,0.36769,0.3677,0.3677,0.012658,0.005746,0.00075486,4.1882e-05,4.3612e-05,0.00039802,0.44208,0.63232,0.086482,0.10143,0.26477,0.12964,0.15496,0.17964,0.0052982,0.0072,0.021697,0.02279,0.011335,0.014846,0.017186,0.00022553,0.00057148,0.00040931,0.002341,0.0009536,6.6898e-06,4.1391e-09,7.3497e-14,5.3988e-10,2.9147e-08,1.627e-07,1.8412e-05,2.4371e-05,3.8817e-05,1.3472e-05,5.1982e-06,9.9959e-06,3.037e-06,3.4503e-06,3.6244e-06,6.253e-06,1.1388e-05,1.0446e-05,8.0328e-07,1.4529e-06,1.4099e-06,1.4098e-06,1.4097e-06,1.4097e-06,1.4097e-06,1.4097e-06,1.4097e-06,1.4097e-06,1.4155e-06,1.4229e-06,2.0072e-06,2.8314e-06,0.00021107,5.4042e-05,8.5713e-05,0.00012059,0.00070875,0.0010414,0.0095202,0.012712,0.0047731,0.0032346,0.050398,0.067148,0.058752,0.17782,0.20041,0.2064,0.1952,0.22345,0.21096,0.14185,0.13816,0.095361,0.10251,0.29066,0.40479,0.39784,0.18123,0.069005,0.064549,0.066722,0.065643,0.066968,0.063068,0.06188,0.061862,0.061864,0.061864,0.061864,0.061864,0.87864,0.78415,0.98504,0.92489,0.90654,0.89019,0.84073,0.84989,0.83322,0.27201,0.37713,0.33985,0.71178,0.72041,0.71922,0.60385,0.61412,0.43021,0.47748,0.46404,0.62935,0.57142
"KTF97353",0.93911,0.60776,0.69113,0.24412,0.40159,0.41738,NA,0.013375,0.00091375,0.00094014,0.00091568,0.00093739,0.00094653,0.015929,0.026293,0.065345,0.20239,0.13811,0.08433,0.029502,0.016968,0.18496,0.18752,0.063248,0.10598,0.11269,0.096999,0.58055,0.54687,0.37528,0.32654,0.47563,0.43031,0.41327,0.9712,0.87315,0.89913,0.70033,0.81347,0.69455,0.52838,0.44041,0.34757,0.29846,0.26949,0.16091,0.15137,0.23716,0.23153,0.22779,0.23024,0.20623,0.19874,0.22663,0.22843,0.23079,0.23042,0.23537,0.22418,0.22411,0.22411,0.22411,0.22411,0.22411,0.22411,0.22411,0.22411,0.22412,0.22414,0.22497,0.2259,0.25102,0.23932,0.24274,0.2456,0.066817,0.058216,0.019252,0.015725,0.028956,0.035727,0.0049688,0.0037351,0.004272,0.0013947,0.0016595,0.0012273,0.0012852,0.0014163,0.0019703,0.0017299,0.0017761,0.0026012,0.0024143,0.05692,0.034176,0.036456,0.097228,0.23412,0.22773,0.23079,0.22999,0.23198,0.22622,0.22412,0.22411,0.22411,0.22411,0.22411,0.22411,0.0061356,0.0085099,0.0042589,0.0031798,0.0029999,0.0028515,0.004293,0.0025143,0.0024014,0.0014657,0.0011479,0.0019477,0.0016812,0.0017213,0.0017182,0.0012823,0.0028963,0.0027326,0.0013219,0.0015142,0.0063263,0.0072572
"XP_009293494",0.9361,0.58772,0.67662,0.37297,0.38079,0.39754,0.013375,NA,9.3077e-06,0.00018999,0.00012046,0.00012441,0.00012358,0.0088429,0.016607,0.049301,0.23003,0.11607,0.13204,0.019162,0.0076215,0.2426,0.23682,0.047286,0.15804,0.092135,0.078651,0.56286,0.52476,0.35059,0.37978,0.44915,0.40728,0.38842,0.96977,0.86692,0.89803,0.68565,0.80439,0.69101,0.50753,0.4164,0.32544,0.27305,0.24395,0.13778,0.13153,0.21205,0.2065,0.20282,0.20523,0.18167,0.17585,0.20167,0.20345,0.20577,0.20541,0.21218,0.19927,0.1992,0.1992,0.1992,0.1992,0.1992,0.1992,0.1992,0.1992,0.19921,0.19922,0.20005,0.20096,0.22576,0.21419,0.21757,0.2204,0.050595,0.043084,0.011082,0.0087708,0.018732,0.024152,0.0018742,0.0012397,0.0015087,0.00025718,0.00034648,0.00020507,0.00022267,0.00026413,0.00046051,0.00037151,0.00038818,0.00071678,0.00063779,0.041963,0.022895,0.024745,0.077946,0.20906,0.20276,0.20577,0.20499,0.20694,0.20128,0.19921,0.1992,0.1992,0.1992,0.1992,0.1992,0.0025205,0.0039376,0.001502,0.00097508,0.00089267,0.00082608,0.0015195,0.00067976,0.00063244,0.00028032,0.00018169,0.00045191,0.00035415,0.00036842,0.0003673,0.00022179,0.00084604,0.00077368,0.00023405,0.00029649,0.0026297,0.003175
"ABU96278",0.93362,0.57329,0.6646,0.29969,0.36021,0.37699,0.00091375,9.3077e-06,NA,6.3218e-06,2.5368e-06,2.8295e-06,2.8435e-06,0.0049609,0.01071,0.038137,0.19056,0.099547,0.091806,0.012702,0.0045346,0.1928,0.19144,0.036411,0.11348,0.077084,0.064311,0.54709,0.50857,0.33079,0.33309,0.4322,0.38811,0.36924,0.9686,0.86178,0.89335,0.67403,0.79691,0.67744,0.49055,0.39772,0.30446,0.25294,0.22402,0.12023,0.11335,0.19246,0.187,0.18338,0.18575,0.16268,0.15675,0.18226,0.184,0.18628,0.18593,0.19198,0.1799,0.17984,0.17984,0.17984,0.17984,0.17984,0.17984,0.17984,0.17984,0.17984,0.17986,0.18066,0.18156,0.20598,0.19457,0.19789,0.20069,0.039278,0.032697,0.0066053,0.0048962,0.012363,0.016705,0.00061784,0.0003326,0.00044843,1.8923e-05,3.5687e-05,1.1159e-05,1.3594e-05,2.008e-05,6.2188e-05,4.1057e-05,4.4783e-05,0.00013704,0.00011207,0.031724,0.015686,0.017189,0.063952,0.18952,0.18333,0.18628,0.18552,0.18744,0.18187,0.17984,0.17984,0.17984,0.17984,0.17984,0.17984,0.00094355,0.0017388,0.00044544,0.00022787,0.00019752,0.00017388,0.00045323,0.00012515,0.00011044,2.2877e-05,8.2442e-06,6.002e-05,3.7302e-05,4.0381e-05,4.0135e-05,1.3467e-05,0.00018088,0.0001559,1.5272e-05,2.581e-05,0.0010013,0.0012993
"KTF88034",0.93239,0.55957,0.65894,0.33459,0.35092,0.36785,0.00094014,0.00018999,6.3218e-06,NA,3.0891e-12,1.4519e-12,1.4602e-12,0.0035113,0.008299,0.033255,0.14515,0.091924,0.095366,0.010119,0.0031408,0.15915,0.18261,0.031526,0.092569,0.069987,0.057742,0.54366,0.49453,0.32116,0.32166,0.42298,0.3806,0.35714,0.96801,0.85923,0.90376,0.66675,0.79319,0.70678,0.48219,0.38866,0.29462,0.24323,0.21396,0.11202,0.10549,0.18311,0.1777,0.17412,0.17647,0.15369,0.15222,0.17301,0.17474,0.17699,0.17664,0.18274,0.17068,0.17062,0.17062,0.17062,0.17062,0.17062,0.17062,0.17062,0.17062,0.17063,0.17064,0.17144,0.17232,0.19651,0.1852,0.18849,0.19126,0.034319,0.028203,0.0049433,0.0034995,0.0098226,0.013652,0.00029751,0.00013294,0.00019715,1.0728e-06,4.0761e-06,2.679e-07,4.6865e-07,1.2305e-06,1.1028e-05,5.3045e-06,6.217e-06,3.8294e-05,2.8309e-05,0.027304,0.012746,0.014082,0.057627,0.18019,0.17407,0.17699,0.17624,0.17814,0.17263,0.17062,0.17062,0.17062,0.17062,0.17062,0.17062,0.00050475,0.0010559,0.00019544,7.9399e-05,6.4978e-05,5.419e-05,0.0001999,3.345e-05,2.7681e-05,1.6463e-06,9.9029e-08,1.0385e-05,4.4342e-06,5.1439e-06,5.0859e-06,4.5696e-07,5.734e-05,4.628e-05,6.3589e-07,2.1311e-06,0.00054293,0.00074522
